Name,Website__c,EmployeeCount__c,Sector__c,Stage__c,LinkedIn__c,Description__c,Address__c,City__c,County__c,HiringStatus__c,YearFounded__c,Latitude__c,Longitude__c
Literal,https://www.literalapp.com,2-10,B2B Software,Series A,https://www.linkedin.com/company/literalapp,Reading community engagement platform,"1555 Freedom Boulevard, Provo, UT",Provo,Utah,Actively Hiring,,40.278258,-111.642201
LooLoo,https://www.getlooloo.com,2-10,Consumer,Seed,https://www.linkedin.com/company/looloo-us,Automatic toilet freshener with essential oils,"12101 State Street, Draper, UT",Draper,Salt Lake,Actively Hiring,,40.772643,-111.877904
Masset,https://www.getmasset.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/massetai,Turn B2B content into revenue,"815 South East Mountain Circle, Alpine, UT",Alpine,Utah,Actively Hiring,,40.270591,-111.667105
Mindsmith,https://www.mindsmith.ai,2-10,B2B Software,Seed,https://www.linkedin.com/company/mindsmith1,eLearning authoring tool using generative AI,"800 West University Parkway, Orem, UT",Orem,Utah,Actively Hiring,,40.269972,-111.709065
NanoSpot.ai,https://www.nanospot.ai,2-10,Bio/Medical Tech,Seed,https://www.linkedin.com/company/nanospot-ai,Rapid point-of-care testing using AI,"630 South Komas Drive, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.799962,-111.8742
Nodal Power,https://www.nodalpower.com,2-10,Energy,Seed,https://www.linkedin.com/company/nodal-power,Renewable energy using landfill biogas,"250 E 200 S, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.765356,-111.868846
Pageport,https://www.pageport.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/pageport,Hyper-personalized landing pages,"272 North 100 East, American Fork, UT",American Fork,Utah,Actively Hiring,,40.324328,-111.66148
Pale Blue,https://www.paleblueearth.com,2-10,Consumer,Seed,https://www.linkedin.com/company/pale-blue-earth,Rechargeable batteries replacing disposables,"2750 Rassmussen Road, Park City, UT",Park City,Summit,Actively Hiring,,40.839424,-111.055248
Parakeet Financial,https://www.parakeetfinancial.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/parakeet-financial,Compliance automation and risk management,"Midvale, UT",,Salt Lake,Actively Hiring,,40.746036,-111.918871
Pyrofex,https://pyrofex.net,2-10,B2B Software,Seed,https://www.linkedin.com/company/pyrofex,Next-generation blockchain platforms,"4692 N 300 W, Orem, UT",Orem,Utah,Actively Hiring,,40.273779,-111.641451
SignalHero,https://www.signalhero.io,2-10,B2B Software,Seed,https://www.linkedin.com/company/signalhero,"AI for retention, cross-sell, upsell","2376 East 3395 South, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.790909,-111.913239
Roger,https://www.tryroger.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/iristechs,Construction collaboration workspace,"1441 Perry Avenue, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.773235,-111.903524
Slipstream Medical,https://www.slipstreammedical.com,2-10,Bio/Medical Tech,Series A,https://www.linkedin.com/company/slipstream-medical,Stiletto intermediate-dwell catheter,"299 South Main Street, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.793964,-111.895938
StreamOS,https://www.streamos.io,2-10,FinTech,Seed,https://www.linkedin.com/company/stream-os,Automated configurable platform for finance teams,"Salt Lake City, UT",,Salt Lake,Actively Hiring,,40.74199,-111.921405
stumbl,https://www.stumbl.com,2-10,Consumer,Seed,https://www.linkedin.com/company/stumblofficial,Marketplace to discover designer bargains,"5526 West 13400 South, Herriman, UT",Herriman,Salt Lake,Actively Hiring,,40.765709,-111.919471
Swyf,https://www.swyf.app,2-10,FinTech,Seed,https://www.linkedin.com/company/swyf-inc,Simple finance tools for accessible options,"Salt Lake City, UT",,Salt Lake,Actively Hiring,,40.767567,-111.843261
Treads,https://www.treads.app,2-10,Consumer,Seed,https://www.linkedin.com/company/gettreads,AI-powered car management subscription,"1090 Center Drive, Park City, UT",Park City,Summit,Actively Hiring,,40.853052,-111.032782
Upkid,https://www.upkid.com,2-10,Marketplaces,Seed,https://www.linkedin.com/company/upkid,Solving the child care shortage in America,"3450 Triumph Boulevard, Lehi, UT",Lehi,Utah,Actively Hiring,,40.336703,-111.693457
Viori,https://www.viori.com,2-10,Consumer,Seed,https://www.linkedin.com/company/viori-beauty,Natural cosmetics honoring Red Yao traditions,"1123 North 1430 West, Orem, UT",Orem,Utah,Actively Hiring,,40.264173,-111.748946
Yoodlize,https://www.yoodlize.com,2-10,Consumer,Seed,https://www.linkedin.com/company/yoodlize,Peer-to-peer rental platform,"826 South Carterville Road, Orem, UT",Orem,Utah,Actively Hiring,,40.265672,-111.679306
Zaymo,https://www.zaymo.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/getzaymo,eCommerce in-email shopping,"560 South 100 West, Provo, UT",Provo,Utah,Actively Hiring,,40.320266,-111.703941
After.com,https://www.after.com,11-50,Consumer,Series A,https://www.linkedin.com/company/after-com,New home for funerals online,"560 South 100 West, Provo, UT",Provo,Utah,Actively Hiring,,40.261982,-111.708806
Applause,https://www.applausehq.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/applausehq,Supercharge team performance,"5442 South 900 East, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.80049,-111.887506
Attestiv,https://www.attestiv.com,11-50,Security,Seed,https://www.linkedin.com/company/attestiv,Authenticity verification for photos/videos/docs,"2701 North Thanksgiving Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.334586,-111.651306
Awsm,https://www.awsm.com,11-50,FinTech,Seed,https://www.linkedin.com/company/realawsm,Share equity with employees and customers,,,Salt Lake,Actively Hiring,,40.721718,-111.864513
Boostly,https://www.boostly.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/goboostly,Text marketing for restaurants,"560 South 100 West, Provo, UT",Provo,Utah,Actively Hiring,,40.311437,-111.690164
Brite,https://www.britebenefits.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/getbritehr,Benefits education software,"341 South Main Street Floor, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.742146,-111.874085
Brooksee,https://www.brooksee.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/brooksee,Endurance events and timing technology,"374 South 671 West, Pleasant Grove, UT",Pleasant Grove,Utah,Actively Hiring,,40.265824,-111.702428
Built for Teams,https://www.builtapp.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/builtforteams,Position Intelligence platform,"155 North 400 West, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.757098,-111.836542
Cardagraph,https://www.cardagraph.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/cardagraph,AI-powered product release roadmapping,"2961 Maple Loop Drive, Lehi, UT",Lehi,Utah,Actively Hiring,,40.326968,-111.722993
Cinch,https://www.cinch.io,11-50,B2B Software,Seed,https://www.linkedin.com/company/cinchplatform,Marketing automation platform,"67 W 13490, Draper, UT",Draper,Salt Lake,Actively Hiring,,40.760847,-111.929562
Cloud Storage Security,https://cloudstoragesecurity.com,11-50,Security,Series B,https://www.linkedin.com/company/cloud-storage-security,Protects data in cloud and on-premises,"1944 East Ashley Mesa Lane, Sandy, UT",Sandy,Salt Lake,Actively Hiring,,40.79381,-111.846538
Continuum,https://joincontinuum.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/joincontinuum,Fractional executive marketplace,"2845 East 3365 South, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.744676,-111.874326
Droplet,https://www.droplet.io,11-50,B2B Software,Seed,https://www.linkedin.com/company/dropletforms,Eliminate paper documents with e-signatures,"2701 North Thanksgiving Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.305618,-111.736259
Elements,https://www.getelements.com,11-50,FinTech,Seed,https://www.linkedin.com/company/getelements,Tools for financial planning firms,"879 Baxter Drive, South Jordan, UT",South Jordan,Salt Lake,Actively Hiring,,40.781801,-111.886275
Ember,https://www.emberhome.com,11-50,Consumer,Series A,https://www.linkedin.com/company/emberhome,Reimagining vacation home experience,"1850 W Ashton Blvd, Lehi, UT",Lehi,Utah,Actively Hiring,,40.31919,-111.690958
Flowell,https://www.flowell.co,11-50,Consumer,Seed,https://www.linkedin.com/company/flowell-inc,Helps health coaches land jobs,"419 East Coatsville Avenue, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.720846,-111.912101
FluentWorlds,https://www.fluentworlds.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/fluentworlds,Immersive 3D e-learning with AI,"3317 North Cottonwood Lane, Provo, UT",Provo,Utah,Actively Hiring,,40.258458,-111.643108
Gauge,https://www.sellgauge.com,11-50,Consumer,Seed,https://www.linkedin.com/company/sellgauge,Competitive bidding process for vehicles,"332 East 3300 South, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.791098,-111.8512
Halda,https://www.halda.ai,11-50,B2B Software,Seed,https://www.linkedin.com/company/heyhalda,Enrollment marketing for universities,"560 South 100 West, Provo, UT",Provo,Utah,Actively Hiring,,40.281501,-111.747649
Halosight,https://www.halosight.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/halosight,AI for account managers and customer advisors,"13 West Wasatch Street, Midvale, UT",Midvale,Salt Lake,Actively Hiring,,40.791041,-111.837366
Leland,https://www.joinleland.com,11-50,Marketplaces,Series A,https://www.linkedin.com/company/joinleland,Marketplace for coaching and career goals,"2701 North Thanksgiving Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.263752,-111.696281
Limit Break,https://www.limitbreak.com,11-50,Consumer,Series B,https://www.linkedin.com/company/limit-break,Web3 and creativity for connections,"6300 North Sagewood Drive, Park City, UT",Park City,Summit,Actively Hiring,,40.826637,-110.967828
Metrodora Institute,https://www.metrodora.co,11-50,Bio/Medical Tech,Seed,https://www.linkedin.com/company/metrodorainstitute,Care and diagnostics for multisystem disorders,"3535 South Market Street, West Valley City, UT",West Valley City,Salt Lake,Actively Hiring,,40.782067,-111.935593
Mobly,https://www.getmobly.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/getmobly,Event-agnostic lead capture app,"2801 N Thanksgiving Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.294923,-111.688624
Modal Living,https://www.livemodal.com,11-50,Consumer,Seed,https://www.linkedin.com/company/livemodal,ADUs designed to your needs,"150 South State Street, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.742005,-111.846308
Monarx,https://www.monarx.com,11-50,Security,Series A,https://www.linkedin.com/company/monarx,Malware protection for web hosts,"8 East Broadway, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.754651,-111.925584
MotionOps,https://www.motionops.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/motionops,Streamlining home services industry,"15 West Scenic Point Drive, Draper, UT",Draper,Salt Lake,Actively Hiring,,40.763944,-111.863408
Nomyx,https://www.nomyx.io,11-50,FinTech,Seed,https://www.linkedin.com/company/nomyx,Financial institutions technology solutions,,,Salt Lake,Actively Hiring,,40.736892,-111.913594
Oka,https://carboninsurance.co,11-50,B2B Software,Series A,https://www.linkedin.com/company/oka-the-carbon-insurance-company,Carbon credits insurance,"1389 Center Drive, Park City, UT",Park City,Summit,Actively Hiring,,40.900712,-110.981115
OliverIQ,https://www.oliveriq.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/oliveriq,Smart Home as a Service,"8911 South Sandy Parkway, Sandy, UT",Sandy,Salt Lake,Actively Hiring,,40.755848,-111.888891
Olumo,https://www.olumo.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/olumo,"Quick, cost-effective problem solving","2701 North Thanksgiving Way 100, Lehi, UT",Lehi,Utah,Actively Hiring,,40.26658,-111.727636
Ovation,https://www.ovationup.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/ovationup,Guest experience platform for restaurants,"75 West University Parkway, Orem, UT",Orem,Utah,Actively Hiring,,40.283947,-111.684003
Paiv,https://www.paiv.ai,11-50,B2B Software,Seed,https://www.linkedin.com/company/gogamify,Field sales and service management platform,"1633 West Innovation Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.275309,-111.728174
Paramify,https://www.paramify.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/paramify,Build enterprise security programs,"1555 North Freedom Boulevard 200 West, Provo, UT",Provo,Utah,Actively Hiring,,40.262579,-111.678868
Particl,https://www.particl.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/getparticl,Data-driven e-commerce analysis,"1300 West 11400 Street, South Jordan, UT",South Jordan,Salt Lake,Actively Hiring,,40.739115,-111.84235
Paterna BioSciences,https://www.paternabio.com,11-50,Bio/Medical Tech,Seed,https://www.linkedin.com/company/paternabiosciences,Biotechnology for male infertility,"2749 East Parleys Way, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.789571,-111.942497
Paykeeper,https://www.paykeeper.com,11-50,FinTech,Series A,https://www.linkedin.com/company/paykeeper,Escrow for everyday transactions,"893 Baxter Drive, South Jordan, UT",South Jordan,Salt Lake,Actively Hiring,,40.73984,-111.870723
Pestie,https://www.pestie.com,11-50,Consumer,Series A,https://www.linkedin.com/company/pestie,Pro-grade pest control easy and affordable,"920 W 14600 S Suite 600, Bluffdale, UT",Bluffdale,Salt Lake,Actively Hiring,,40.737939,-111.935123
Plotline,https://www.plotline.so,11-50,B2B Software,Seed,https://www.linkedin.com/company/plot-line,Mobile adoption platform for apps,,,Salt Lake,Actively Hiring,,40.795641,-111.882475
Powder Watts,https://www.powderwatts.com,11-50,Energy,Seed,https://www.linkedin.com/company/powderwatts,NSF-funded electric load management,"2570 Rasmussen Road, Park City, UT",Park City,Summit,Actively Hiring,,40.858914,-110.964946
Qualiti,https://www.qualiti.ai,11-50,B2B Software,Seed,https://www.linkedin.com/company/qualiti,AI-driven platform for test automation,"2701 North Thanksgiving Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.3215,-111.731751
Rasa,https://www.rasa-legal.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/rasa-legal,Clear criminal records via technology,"180 East 2100 South, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.728554,-111.899274
ReferPro,https://www.getrefer.pro,11-50,B2B Software,Seed,https://www.linkedin.com/company/refer-pro,Automated referral platform,"1633 West Innovation Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.290786,-111.698557
Ripe,https://bookripe.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/rootrez,White-label lodging e-commerce,"650 South 500 West, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.779126,-111.870196
Roster,https://www.getroster.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/getroster,Turning customers into sales force,"2701 North Thanksgiving Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.335633,-111.74279
SABX,https://www.sabx.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/sabx,Order management processes online,"1389 Center Drive, Park City, UT",Park City,Summit,Actively Hiring,,40.85331,-111.018384
Safety Mojo,https://www.getmojo.ai,11-50,B2B Software,Series A,https://www.linkedin.com/company/get-mojo-ai,Improve safety behavior,"10011 South Centennial Parkway, Sandy, UT",Sandy,Salt Lake,Actively Hiring,,40.789734,-111.921161
Salad,https://www.salad.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/salad-technologies,Connects consumer GPUs to AI companies,"26 South Rio Grande Street, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.736017,-111.897166
Sameday,https://gosameday.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/samedayservices,AI Virtual Sales Agents for services,"1557 West Innovation Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.290651,-111.721175
Savvos,https://www.savvos.com,11-50,Bio/Medical Tech,Seed,https://www.linkedin.com/company/savvos,"Find price, schedule care, simplify payment","629 East Quality Drive, American Fork, UT",American Fork,Utah,Actively Hiring,,40.276885,-111.643808
SchoolAI,https://www.schoolai.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/getschoolai,AI-powered tools for K-12 education,"1441 W Innovation Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.29235,-111.651238
Seis,https://www.seis.com,11-50,FinTech,Series A,https://www.linkedin.com/company/seis-card,Banking 100% in Spanish,"1557 West Innovation Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.300926,-111.748529
Skill Struck,https://www.skillstruck.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/skill-struck,Computer Science and AI for K-12,"629 East Quality Drive, American Fork, UT",American Fork,Utah,Actively Hiring,,40.336843,-111.654277
Syncware,https://www.syncware.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/getsyncware,"Sync orders, inventory, fulfillment","6300 Sagewood Drive, Park City, UT",Park City,Summit,Actively Hiring,,40.89862,-110.947936
Tellus,https://www.tellusensors.com,11-50,Energy,Seed,https://www.linkedin.com/company/tellus-sensors,Air quality sensor technology,"2319 South Foothill Drive, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.788696,-111.931043
Troomi,https://www.troomi.com,11-50,Consumer,Seed,https://www.linkedin.com/company/troomi,Safe phones for kids,"3300 Triumph Boulevard, Lehi, UT",Lehi,Utah,Actively Hiring,,40.295751,-111.72895
Velocity Access,https://www.velocityaccess.io,11-50,B2B Software,Seed,https://www.linkedin.com/company/velocity-access,Advanced ticketing software,"412 West Rivers Edge Drive, Provo, UT",Provo,Utah,Actively Hiring,,40.288983,-111.747564
Velosimo,https://www.velosimo.com,11-50,B2B Software,Series A,https://www.linkedin.com/company/velosimoinc,No-code integration connectors,"12537 South Brundisi Way, Herriman, UT",Herriman,Salt Lake,Actively Hiring,,40.751118,-111.832763
Videra Health,https://www.viderahealth.com,11-50,Bio/Medical Tech,Seed,https://www.linkedin.com/company/viderahealth,AI-driven mental health assessment platform,"898 North 1200 West, Orem, UT",Orem,Utah,Actively Hiring,,40.278116,-111.660512
Wander,https://www.wandermaps.com,11-50,Consumer,Seed,https://www.linkedin.com/company/wander-app-inc,One-app interactive mapping replacement,"1083 Terrace Drive, Provo, UT",Provo,Utah,Actively Hiring,,40.293301,-111.703839
Wasatch BioLabs,https://www.wasatchbiolabs.com,11-50,Bio/Medical Tech,Seed,https://www.linkedin.com/company/wasatch-biolabs,Innovative approach to diagnostics,"321 West 1300 South, Heber City, UT",Heber City,Wasatch,Actively Hiring,,40.501785,-111.224049
Xenter,https://www.xenter.io,11-50,Bio/Medical Tech,Series B,https://www.linkedin.com/company/xenter-corp,Wireless technology in medicine ecosystem,"344 West 13800 South, Draper, UT",Draper,Salt Lake,Actively Hiring,,40.765261,-111.864791
Zanskar,https://www.zanskar.com,11-50,Energy,Series B,https://www.linkedin.com/company/zanskar,Geothermal power most affordable,"90 South 400 West, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.733184,-111.915395
Zapmoto,https://www.zapmoto.com,11-50,B2B Software,Seed,https://www.linkedin.com/company/zapmoto,Pickup and dropoff for car service,"11779 Pennbrooke Lane, Highland, UT",Highland,Salt Lake,Actively Hiring,,40.798297,-111.881498
Alianza,https://www.alianza.com,201-500,B2B Software,Series D+,https://www.linkedin.com/company/alianza,Cloud-native carrier-grade comms platform,"1064 South North County Boulevard, Pleasant Grove, UT",Pleasant Grove,Utah,Actively Hiring,,40.300276,-111.664843
Blue Eye,https://www.goblueeye.com,201-500,Security,Seed,https://www.linkedin.com/company/go-blue-eye,Modern video surveillance alternative,"15 W South Temple, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.725373,-111.880899
Cotopaxi,https://www.cotopaxi.com,201-500,Consumer,Series C,https://www.linkedin.com/company/cotopaxi-com,Outdoor products to alleviate poverty,"74 Main Street, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.761028,-111.848674
Cupbop,https://www.cupbop.com,201-500,Consumer,Seed,https://www.linkedin.com/company/cupbop,Korean BBQ in a Cup,"593 E 12300 S Ste B, Draper, UT",Draper,Salt Lake,Actively Hiring,,40.733395,-111.835707
Gabb Wireless,https://www.gabb.com,201-500,Consumer,Series A,https://www.linkedin.com/company/gabb-wireless,Age-appropriate tech for children,"2701 North Thanksgiving Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.263309,-111.732301
Homie,https://www.homie.com,201-500,B2B Software,Series C,https://www.linkedin.com/company/homie-com,Tech-enabled real estate,"489 South Jordan Parkway, South Jordan, UT",South Jordan,Salt Lake,Actively Hiring,,40.768403,-111.869974
Pura,https://www.pura.com,201-500,Consumer,Series A,https://www.linkedin.com/company/pura-scents,Smart fragrance brand,"2100 Pleasant Grove Boulevard, Pleasant Grove, UT",Pleasant Grove,Utah,Actively Hiring,,40.275716,-111.740214
Route,https://www.route.com,201-500,B2B Software,Series C,https://www.linkedin.com/company/route-app,Post-purchase experience solution,"1441 West Innovation Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.328123,-111.725054
Solo,https://www.gosolo.io,201-500,B2B Software,Series C,https://www.linkedin.com/company/solo-backoffice,Back-office solution for contractors,"3049 Executive Parkway, Lehi, UT",Lehi,Utah,Actively Hiring,,40.304462,-111.680274
Vanderhall,https://www.vanderhallusa.com,201-500,Consumer,Series C,https://www.linkedin.com/company/vanderhall-motor-works-inc.,Unique roadsters with modern performance,"3500 Mountain Vista Parkway, Provo, UT",Provo,Utah,Actively Hiring,,40.290438,-111.684559
