Name,Description__c,Communities__c,Industries__c,Locations__c,Topics__c,Link__c,Email__c
"EVENT: One Utah Summit","Annual gathering with Utah's business, nonprofit, and government leaders moving to Cedar City","","All industries","All counties","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://oneutahsummit.utah.gov/","lisonbee@suu.edu"
"EVENT: Silicon Slopes Tech Summit","North American tech event Jan 13-17, 2025 with Startup Alley and specialized tracks","","All industries","All counties","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.siliconslopes.com/summit",""
"Vision Iron County","Nonprofit guiding sustainable growth and development with Vision 2050 survey","Rural","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://visionironcounty.org/","office@cedarcitychamber.org"
"Tech Ridge","180-acre development with one million square feet of office space in St. George","","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://techridge.com/",""
"EVENT: What's Up Down South - Economic Summit","29th annual summit Jan 9, 2025 at Dixie Convention Center with keynotes and workshops","Rural","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://whatsupdownsouth.org/",""
"EVENT: Grand Summit Moab","Annual business conference discussing sustainable tourism, local economic development","Rural","All industries","Carbon|Emery|Grand|San Juan","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.grandsummitmoab.com/","Nicole@powerhouse.events"
"EVENT: Raising Kane Business Summit","Kane County's premier annual business event in Kanab for networking and economic discussion","Rural","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.raisingkanesummit.com/",""
"Utah Division of Outdoor Recreation","Division promoting access to outdoor spaces and administers Utah Outdoor Recreation Grant","","Arts and Entertainment and Recreation|Hospitality and Food Services","All counties","Entrepreneurship Communities","https://recreation.utah.gov/","jasoncurry@utah.gov"
"Utah Tourism Association","Industry association serving as collective voice of Utah's visitor economy","","Arts and Entertainment and Recreation|Hospitality and Food Services","All counties","Entrepreneurship Communities","https://utahtourism.org/",""
"Utah Film Commission","Organization promoting Utah as prime location for film, television, and commercial productions","","Arts and Entertainment and Recreation|Hospitality and Food Services","All counties","Entrepreneurship Communities","https://film.utah.gov/","film@utah.gov"
"Utah Office of Tourism","State office promoting tourism through strategic marketing, partnerships, and tourism initiatives","","Arts and Entertainment and Recreation|Hospitality and Food Services","All counties","Entrepreneurship Communities|Other","https://travel.utah.gov/","info@visitutah.com"
"Visit Utah","Official travel guide showcasing diverse landscapes, national parks, cultural experiences","","Arts and Entertainment and Recreation|Hospitality and Food Services","All counties","Entrepreneurship Communities|Other","https://www.visitutah.com/","info@visitutah.com"
"Kinect Capital","Educational nonprofit established 1983 connecting entrepreneurs with diverse capital sources","","All industries","All counties","Entrepreneurship Communities|Funding","https://kinectcapital.org/","info@kinectcapital.org"
"Veteran-Owned Business Registration Utah","Registry launched Jan 2023 by UDVMA promoting veteran-owned businesses across Utah","Veteran","All industries","All counties","Entrepreneurship Communities","https://vbr.veterans.utah.gov/s/","vbrc@slcc.edu"
